,abs_err,consumption_mwh,predicted
2025-10-29 08:00:00,10224.639500000001,27904.84,41705.644545454554
2025-10-29 07:00:00,8036.245000000006,26252.76,41705.644545454554
2025-10-29 06:00:00,5434.378000000004,26878.87,41868.26933333333
2025-10-29 00:00:00,4931.779999999995,29904.56,40258.48549999999
2025-10-29 05:00:00,4548.138000000003,27765.11,39853.063181818194
2025-10-20 08:00:00,3888.4916666666686,39094.14,40170.08222222222
2025-10-29 04:00:00,3529.035238095239,27550.68,41705.644545454554
2025-10-29 03:00:00,3125.0952380952403,27954.62,41705.644545454554
2025-10-19 18:00:00,2825.2416666666686,38030.89,41705.644545454554
2025-10-29 02:00:00,2672.2652380952386,28407.45,42929.19571428571
